"Treatment","Day","Replicate","percent"
"pH10",5,"E",0.947088734447683
"pH10",5,"F",0.434466420548173
"pH10",6,"A",0.8919624861568
"pH10",6,"B",0.172014361160883
"pH10",6,"C",0.379330828399451
"pH10",6,"E",0.531955185699413
"pH10",6,"F",0.238458033579588
"pH10",7,"B",0.209134305371404
"pH10",7,"C",0.22794341843958
"pH10",7,"D",0.266925458183051
"pH10",7,"E",0.20442016388128
"pH10",7,"F",0.259718734747283
"MES",1,"C",1.81316468507774
"MES",1,"E",1.45892682206712
"MES",2,"A",1.13479657806437
"MES",2,"B",1.42938532645962
"MES",2,"C",1.54094501100638
"MES",2,"D",1.01692077043409
"MES",2,"E",0.737153810485895
"MES",2,"F",1.13843451868205
"MES",3,"A",1.10772200316998
"MES",3,"B",1.14408235477711
"MES",3,"C",1.04247256967281
"MES",3,"D",2.24603235515739
"MES",3,"F",1.5623754335581
"MES",4,"A",1.74876316911778
"MES",4,"B",1.163846665949
"MES",4,"C",0.563829819903625
"MES",4,"F",1.34575822542914
"MES",5,"A",1.23706739659585
"MES",5,"B",0.869107477318654
"MES",5,"C",0.935404894659799
"MES",5,"D",1.26898007214432
"MES",5,"E",1.10783364496906
"MES",5,"F",0.81728460834122
"MES",6,"A",1.27113186018877
"MES",6,"B",0.880871879000272
"MES",6,"C",1.22111734760841
"MES",6,"D",1.10961893334595
"MES",6,"E",1.33770434673537
"MES",7,"A",0.832003581821186
"MES",7,"B",0.539939864094537
"MES",7,"C",1.05140410128301
"MES",7,"D",0.728905356472731
"MES",7,"E",0.773311746778403
"MES",7,"F",0.453486655077661
"G05",1,"A",1.46495994764036
"G05",1,"B",1.37882672858804
"G05",1,"C",1.26037495260139
"G05",1,"D",1.32086832961109
"G05",1,"E",1.6046968072095
"G05",1,"F",1.54807535242403
"G05",2,"A",1.62167179098722
"G05",2,"B",1.79656314782535
"G05",2,"C",1.56354303208971
"G05",2,"D",1.57893003083605
"G05",2,"E",1.35400012073737
"G05",2,"F",1.0586887298199
"G05",3,"A",1.17333680545947
"G05",3,"B",1.11648634891689
"G05",3,"C",1.60623850882363
"G05",3,"D",1.36030290997105
"G05",3,"E",1.41208483986172
"G05",3,"F",1.47030436971546
"G05",4,"B",0.956963450079574
"G05",4,"C",0.615008013821964
"G05",4,"D",1.09079252996385
"G05",4,"E",1.32028439310671
"G05",4,"F",0.506092247671394
"G05",5,"A",0.594085258727525
"G05",5,"B",0.554042766045413
"G05",5,"C",0.372587263537731
"G05",5,"D",0.61479996978238
"G05",5,"E",0.506094914713848
"G05",5,"F",0.299984351973113
"G05",6,"A",0.285384319976803
"G05",6,"B",0.727652452319799
"G05",6,"C",0.995203489429603
"G05",6,"D",0.700754960835656
"G05",6,"E",0.783715026853369
"G05",6,"F",0.361124449082236
"G05",7,"A",0.495465039660077
"G05",7,"B",0.57002649679184
"G05",7,"C",0.47413495506674
"G10",1,"A",1.16706273826828
"G10",1,"B",1.19703662174962
"G10",1,"C",1.15142963694675
"G10",1,"D",1.12244687296097
"G10",1,"E",1.08957092788202
"G10",1,"F",1.15940710930526
"G10",2,"A",1.70747605267152
"G10",2,"B",1.64648306424824
"G10",2,"C",1.18859429881938
"G10",2,"D",1.67354437229488
"G10",2,"E",1.61983297319298
"G10",2,"F",1.54478040135574
"G10",3,"A",1.76820428122827
"G10",3,"B",1.50848810838121
"G10",3,"C",1.39557347443835
"G10",3,"D",1.63391477392993
"G10",3,"E",0.972456723762484
"G10",3,"F",1.24044990118505
"G10",4,"A",0.944046089630007
"G10",4,"B",0.727604913759103
"G10",4,"C",0.662210530897791
