"bin","G05_1_A","G05_1_B","G05_1_C","G05_1_D","G05_1_E","G05_1_F","G05_2_A","G05_2_B","G05_2_C","G05_2_D","G05_2_E","G05_2_F","G05_3_A","G05_3_B","G05_3_C","G05_3_D","G05_3_E","G05_3_F","G05_4_B","G05_4_C","G05_4_D","G05_4_E","G05_4_F","G05_5_A","G05_5_B","G05_5_C","G05_5_D","G05_5_E","G05_5_F","G05_6_A","G05_6_B","G05_6_C","G05_6_D","G05_6_E","G05_6_F","G05_7_A","G05_7_B","G05_7_C","G10_1_A","G10_1_B","G10_1_C","G10_1_D","G10_1_E","G10_1_F","G10_2_A","G10_2_B","G10_2_C","G10_2_D","G10_2_E","G10_2_F","G10_3_A","G10_3_B","G10_3_C","G10_3_D","G10_3_E","G10_3_F","G10_4_A","G10_4_B","G10_4_C","G10_4_D","G10_4_E","G10_4_F","G10_5_A","G10_5_B","G10_5_C","G10_5_D","G10_5_E","G10_5_F","G10_6_A","G10_6_B","G10_6_C","G10_6_D","G10_6_E","G10_6_F","G10_7_B","G10_7_C","G10_7_E","G10_7_F","MES_1_C","MES_1_E","MES_2_A","MES_2_B","MES_2_C","MES_2_D","MES_2_E","MES_2_F","MES_3_A","MES_3_B","MES_3_C","MES_3_D","MES_3_F","MES_4_A","MES_4_B","MES_4_C","MES_4_F","MES_5_A","MES_5_B","MES_5_C","MES_5_D","MES_5_E","MES_5_F","MES_6_A","MES_6_B","MES_6_C","MES_6_D","MES_6_E","MES_7_A","MES_7_B","MES_7_C","MES_7_D","MES_7_E","MES_7_F","pH10_1_A","pH10_1_C","pH10_1_D","pH10_1_E","pH10_1_F","pH10_2_A","pH10_2_B","pH10_2_C","pH10_2_D","pH10_2_E","pH10_2_F","pH10_3_C","pH10_3_F","pH10_4_F","pH10_5_A","pH10_5_B","pH10_5_C","pH10_5_D","pH10_5_E","pH10_5_F","pH10_6_A","pH10_6_B","pH10_6_C","pH10_6_E","pH10_6_F","pH10_7_B","pH10_7_C","pH10_7_D","pH10_7_E","pH10_7_F","pH6_1_A","pH6_1_B","pH6_1_C","pH6_1_D","pH6_1_E","pH6_1_F","pH6_2_A","pH6_2_B","pH6_2_C","pH6_2_D","pH6_2_E","pH6_2_F","pH6_3_A","pH6_3_B","pH6_3_C","pH6_3_D","pH6_3_E","pH6_3_F","pH6_4_B","pH6_4_C","pH6_4_E","pH6_4_F","pH6_5_A","pH6_5_B","pH6_5_C","pH6_5_D","pH6_5_E","pH6_5_F","pH6_6_A","pH6_6_B","pH6_6_C","pH6_6_D","pH6_6_E","pH6_6_F","pH6_7_A","pH6_7_B","pH6_7_C","pH6_7_D","pH6_7_F","pH8_1_B","pH8_1_C","pH8_1_D","pH8_1_E","pH8_1_F","pH8_2_A","pH8_2_B","pH8_2_C","pH8_2_D","pH8_2_E","pH8_2_F","pH8_3_A","pH8_3_D","pH8_3_E","pH8_3_F","pH8_4_B","pH8_4_C","pH8_4_E","pH8_4_F","pH8_5_A","pH8_5_B","pH8_5_C","pH8_5_D","pH8_5_E","pH8_5_F","pH8_6_A","pH8_6_B","pH8_6_C","pH8_6_D","pH8_6_E","pH8_6_F","pH8_7_A","pH8_7_B","pH8_7_C","pH8_7_D","pH8_7_F"
"G10_2_C_cluster_DBSCAN_round1_10",1087385,1247345,1738212,2493814,1611939,1177513,3371636,4975835,6875115,4377044,243267,1597772,416658,305484,2694605,280888,67681,44568,33071,203815,30517,18467,20487,13063,12173,56097,12819,6026,14828,6183,4543,17017,18337,8211,10257,896,580,11201,948972,3179068,3006009,2943469,1092345,733561,2747464,3066284,4297761,3210052,1645585,2262368,1573913,1657399,2549916,1408337,159034,21243,1017760,223908,143872,148951,34682,31847,44154,39572,657924,17723,4343,13712,18191,14225,237874,10835,4084,10755,10900,52605,8299,2885,3554685,5018965,2337154,4620603,4815604,2505262,1000042,15686165,576566,752914,2442590,21127,14727,115694,64263,548504,34751,45758,73191,71737,38332,25240,22549,19502,20161,25161,30924,20481,28793,18398,27856,31089,14689,544,11503,9894,4915,31435,15200,12983,6637,2384,4202,14007,4371,1381,706,344,1803,2267,735,317,964,503,821,458,539,559,191,355,266,219,607,331,929502,377639,500540,1302867,1209794,539531,29605,39543,38712,174306,205101,158231,10674,17689,36631,44359,48015,50918,10900,25173,19441,16905,5677,10288,9482,7422,9772,6966,6424,5187,5821,4590,8778,4582,3063,2260,3991,2443,3347,33867,92538,926089,1386480,2010300,14622,22201,40515,92465,92884,68490,31373,44901,44633,16546,3054,2149,11378,5878,2875,4053,2538,3782,7597,5336,2056,2772,1791,1744,2281,1392,4307,2247,2122,1341,1365
"G10_3_A_cluster_DBSCAN_round5_0",285534,240628,82875,255621,204124,168333,413336,432462,453158,332541,285299,326206,342498,250359,287258,238574,268755,185219,91943,40453,56475,63141,35831,52404,35438,234097,66905,69351,32081,25533,39808,125932,100120,124965,37886,2881,1898,22240,196405,429166,72679,876022,205233,170092,497492,661828,234969,787509,1162147,870326,582252,421506,199843,430983,140203,49729,61787,131402,90246,169716,100838,156248,136376,153710,38400,84781,38293,54088,36560,53087,62399,26253,63896,11730,22816,65770,34207,34056,68282,128475,205703,404001,83417,293255,117995,1421428,649026,621521,132527,872268,821711,129616,58940,140640,67302,248948,136797,100256,385015,56550,79008,94067,58789,70600,89654,66264,111491,28314,32877,56332,15313,710,215898,134959,53262,129062,77918,158547,69865,76215,118748,273222,89087,52915,32174,33474,795886,502189,152170,57232,293569,110690,76887,4753,47646,61980,14679,67544,60067,67611,75187,104578,194041,92542,122417,134469,101902,36477,50023,46620,40754,147215,79584,126981,77662,75142,30876,44594,62184,28287,28061,42906,87960,17820,146389,25487,22567,50937,37821,52660,90144,63764,42954,59470,71026,53621,11943,7111,20663,6209,16079,76666,114254,262469,263553,303914,110633,227806,141735,128498,207695,286306,12704,23495,18983,25660,47746,58599,60817,20708,235773,121881,117092,61946,763908,229356,120356,54089,33468,18626,23408,6777,172545,18127,48912,46174,32070
"G10_3_D_cluster_DBSCAN_round210_2",14100,33990,9278,22275,30294,87217,77250,156993,45917,190601,63089,132334,116178,125769,62034,123692,76095,171208,30482,30207,23997,20271,13585,39594,28507,69775,39899,14380,11883,5147,13273,31524,30924,25232,10232,847,681,10861,5038,23911,7246,29135,10084,15555,18155,31396,21803,34839,180087,362923,33736,70808,11741,45831,21501,32654,5447,56098,36250,129856,38809,135049,38572,69110,9652,54034,12217,55533,27005,61662,60860,21627,21770,12422,9430,16126,5904,5050,5966,17826,25726,67259,13728,62202,15549,365552,118027,154098,22169,170404,179133,80290,37134,32396,29213,116458,178702,138070,152833,42734,65757,76242,49115,79000,82420,33487,60532,30640,26439,24247,8299,497,31909,32583,17033,31771,19776,25062,12895,4747,13263,12539,9620,8215,3868,5563,84055,73681,32135,11869,43377,32200,6042,367,5259,4837,916,3393,5009,5390,4020,6636,101360,36658,46023,71415,25582,14386,19842,11813,7777,27509,29802,24191,20285,17462,14317,21302,17653,13207,6338,13913,29368,5615,51652,8098,4207,26299,9120,24310,17318,26525,9827,18808,12594,16692,2120,903,3517,716,3000,24145,26834,81754,40558,125019,24261,81314,29783,21492,54858,28514,3107,7769,3996,9443,15546,8953,15641,4621,72578,27991,25045,21160,165593,110342,25513,14328,4273,4673,3655,1265,20343,1672,3421,4441,3506
"G10_6_B_cluster_DBSCAN_round179_0",146842,202989,108302,211885,182652,234286,326559,303760,169915,542544,256741,456156,354138,332539,180288,419869,309593,306640,256127,281077,343051,180490,399683,392744,415058,642811,384360,254063,336555,195619,154245,384207,434653,348835,342628,25426,23418,344303,78864,221245,96793,421832,208300,79092,250191,207689,199371,288383,591071,805791,121113,187026,88695,149709,85217,75033,203617,386611,320965,835778,506950,839895,468938,668460,243950,403444,184034,501742,367999,467584,511044,362504,269428,320750,422759,569327,393010,448881,93941,168236,186421,192099,140662,293489,171703,712741,810862,446354,208128,235718,353877,782844,438504,472153,445268,1026464,1643433,844297,768202,581177,572736,570653,552280,565466,707310,436786,1595670,867779,864268,1343780,540460,43178,143850,117620,73148,133202,61227,167442,142311,53231,122958,111837,70268,164408,78516,136321,427915,392311,227970,242330,338319,290652,67531,97582,142561,137200,101484,270249,190417,147155,275223,208496,341459,131191,259574,253398,194463,45669,117720,78343,61600,138185,216607,230755,257616,406157,162135,289065,192157,158314,232998,265281,230858,242804,310970,292721,347325,368732,252979,336762,252217,232929,151702,261038,204560,193444,154791,128829,294871,240426,279588,151146,145178,333677,221724,359671,84420,365989,181167,152582,293257,213132,19997,36184,24468,101832,303832,258326,369571,218054,324489,276985,284430,327365,854483,515943,222661,205617,170329,240258,146266,119426,455122,397503,390166,349325,424082
"G10_6_E_cluster_DBSCAN_round5_1",1747,1472,1029,2318,6790,3782,7769,5827,10998,6675,29030,10648,8909,5688,4447,6452,91190,81871,19357,2550,29578,141722,28954,14183,12413,6497,32946,32523,13893,9025,24196,36823,58791,51577,17810,2869,2343,25469,785,1348,1404,2162,929,512,8391,6896,25706,5909,67998,12558,11626,2350,5247,7311,20068,26586,9165,1337,3043,3626,12163,17857,5912,5341,2498,10380,80594,23761,66946,41016,2407,30889,147619,19070,17578,20772,66503,27178,1363,1909,3689,6003,1677,5168,6106,74484,15366,15230,1665,187264,120346,47684,18337,4757,33207,38290,45181,17568,64628,21642,15904,46878,17164,37139,46658,67962,72688,15974,41193,34131,17722,999,21123,10414,2870,17710,3909,13646,25817,11076,13282,24560,10180,18933,7604,11309,93485,60815,29957,19238,49047,27496,19937,3916,20957,13835,5738,11207,10580,9752,10740,15546,4955,2063,1443,1708,1392,373,19677,5533,1800,7930,2765,2502,38929,39413,15572,21951,15742,9805,24010,22940,125193,13325,49767,11164,7175,29875,10096,23443,11555,13436,10257,18542,11854,15595,2833,2351,3173,2121,6791,5665,5408,2893,4626,3685,171216,113266,23805,4522,4719,4993,12592,6043,6478,6806,30997,21217,26618,9976,58604,28062,19398,25354,172183,78341,32600,12319,5920,9039,7674,5204,16029,2190,5814,4769,5531
"G10_7_A_cluster_DBSCAN_round160_0",5393,5854,4181,7502,5387,4943,9554,9137,20598,10835,22125,8080,16193,11591,16705,15776,83905,131072,19016,4465,53457,42023,29367,18810,45203,28293,43168,21377,18927,7581,25251,64092,54327,54760,22657,1555,1401,10625,1730,5071,3044,9452,4187,2467,13458,15476,15195,16696,32409,28028,19134,13052,14518,12839,4470,6572,5144,2995,2562,5535,6782,9095,4462,5526,3150,6513,5848,7934,26039,51622,3842,11975,11000,63129,7776,4669,5562,3173,3247,5273,4214,6327,3711,4698,2312,24776,9035,10893,2268,52943,63552,16253,7847,2469,28745,81529,136958,9355,85650,25863,26730,26116,29300,29817,26692,26787,32918,16817,22127,21127,5954,358,8193,5770,1880,4313,2042,11449,20314,16066,12040,15369,9668,9398,9041,5576,113347,68093,28567,9982,89219,20528,10537,1893,10235,8614,2046,7043,7745,4988,7189,6326,6746,2221,3369,3675,1900,771,12600,5983,3773,7737,3691,6689,44160,20515,20162,29689,21481,29386,8364,8836,30797,8049,60123,12525,10939,21554,11694,20745,20776,15862,7762,13001,12250,14422,3419,2056,2164,1579,4433,4995,5174,5695,4223,6557,48980,22155,40626,7541,5650,11820,2613,9010,5296,10135,17866,12457,16659,5757,66596,23330,13296,13680,140799,74218,22118,11600,8233,5100,5275,1618,24313,3112,14098,3757,2966
"G10_7_C_cluster_DBSCAN_round1_6",9335,8808,7680,13277,15102,13968,12968,11906,35683,13317,162858,28334,38578,36947,30394,30088,789514,771918,63910,14005,155859,412188,165960,69104,100311,12157,283251,263512,111639,45504,111166,103456,239391,472809,99211,10150,6354,56266,3588,2344,2212,5551,1977,1194,11465,13446,25810,13344,107392,37908,40096,14328,11261,53513,19160,52193,4768,4055,3012,6445,50390,36284,10930,9571,2376,17592,124666,52154,105665,54047,4245,67550,242917,119777,28776,29602,153326,53840,10359,9768,21915,47390,6717,29735,15610,198619,118853,279843,14558,3758965,3390326,326420,192703,66351,316854,385723,418331,250975,775721,441486,200595,216961,160340,304637,366998,411858,384131,116449,217043,181363,59869,5685,88426,62028,54381,104518,80764,92794,171777,208397,438959,459094,211181,148944,159940,151671,1218177,608125,440422,275290,1678498,560872,166600,54363,121834,182240,50947,138333,134636,91516,166616,113350,33833,11958,8598,6596,5673,1842,188827,65346,24961,50510,37962,44022,717570,236791,207819,268518,280532,175790,179127,148854,966808,104579,665601,115473,72960,357859,258059,292039,180061,217052,107222,245177,176506,214155,30121,26891,31389,25947,34852,43589,57377,17979,26547,11564,985679,721346,261971,30987,85011,64315,46752,30618,58352,63590,211063,172672,474096,53606,656725,205810,172495,224808,2967698,1051616,302763,105732,70274,60275,67844,25446,273899,70514,104646,55944,74121
"G10_7_C_cluster_DBSCAN_round7_14",3731,4912,3340,4601,6043,7569,11701,12591,13525,14940,17506,13604,13901,12621,12845,11175,16031,19251,5865,3030,4639,5577,3639,2766,3955,5549,5705,3215,3204,1036,3500,5363,7564,7834,2931,166,189,2247,1732,5396,2788,8734,3782,2265,9193,10094,11101,10871,30341,30904,14713,14109,10471,11648,5540,4620,3882,4623,3223,7184,4788,10189,4253,6310,2407,5941,3565,3241,2613,5523,4182,2723,6760,1879,2481,3507,4493,2572,2744,5325,3486,5512,3187,4160,2128,24458,8870,11802,2026,23338,22125,5257,2765,2202,2798,8038,7799,5178,8733,5124,3478,3945,2966,4224,3916,5707,6701,2460,2741,3693,1430,107,2900,1424,658,1354,920,2662,4287,3092,2337,2420,2172,1138,1198,932,13797,9806,4331,1407,6276,3431,1773,399,1441,1222,332,1236,1762,1270,1344,1634,5903,3055,3333,4335,2498,1007,3443,1980,997,3533,2233,2857,6531,7091,3476,3529,2533,2941,1863,1752,5544,1745,7940,1609,1225,3329,2047,3502,3522,3126,1966,2938,3139,2826,540,339,655,258,794,3258,2844,6588,4853,9231,10341,17725,4276,3407,3387,4814,451,861,521,1284,2470,2327,2615,1302,9244,5165,3480,2942,26699,12597,4284,2300,1258,949,944,368,4994,825,2346,1418,988
"G10_7_C_cluster_DBSCAN_round7_2",6818,7865,6755,7612,10141,9371,15066,14490,32190,22252,99106,23524,16850,15063,18844,21856,79974,59360,22058,7199,19412,19225,12293,14801,20426,26002,16293,9166,5851,2392,11749,24431,20252,21997,7677,376,360,12931,3669,9464,5738,18073,9016,5850,14465,18400,29543,21348,87210,72777,15027,11734,18503,16863,19248,14907,5178,7770,5135,12404,33022,42583,13819,16097,3202,16521,17699,17568,21461,25302,10388,13018,24345,6882,6883,22476,15883,3835,4177,5723,9513,13050,3505,9135,11108,53049,35270,52017,8102,126824,40348,36487,19704,11723,15994,67178,72177,71934,59390,68583,25928,39508,26744,61155,46436,52065,79562,32791,19356,39958,24596,914,20962,7004,3268,6831,5247,8878,19606,11529,8874,10571,8360,4771,6512,2093,77434,57916,13711,2810,18920,7436,8378,352,3709,3333,374,1252,1186,1957,1135,1381,10999,5164,5205,6508,3489,1981,16843,9605,3176,9692,5120,10562,14135,7144,10342,12752,12382,10948,3305,4217,11974,2661,26973,3233,1421,7402,3385,7843,6993,8129,3086,6762,5891,6772,675,623,544,244,1339,10237,7330,13007,8914,18245,25937,39695,29426,6862,4735,12775,1237,5908,2395,8134,5116,2730,4101,2515,25284,12839,5892,6047,57143,35050,10041,5527,1824,1741,1601,442,10055,712,1994,2020,1169
"G10_7_E_cluster_DBSCAN_round81_0",20115,56759,7411,36013,72480,129737,133492,272863,50109,293289,185145,323403,456354,367199,100799,461051,272246,252702,71681,93628,49396,74451,28868,96353,97862,164671,115215,79294,23957,12552,36843,74510,81126,108486,41564,1580,1481,29758,3576,24938,6268,26040,18259,22934,8138,21453,14023,19602,496240,596544,44280,154037,5012,106973,92334,47045,2301,207043,111861,480286,127495,345932,76765,158964,26055,133624,28987,142862,70978,166476,156019,49887,58157,26051,23645,40160,20087,9104,6294,54982,29068,74020,26938,80263,31990,518433,372229,348659,29551,253529,190361,162905,72789,89285,58367,243042,442336,374582,274843,128565,146663,158929,104503,212792,190949,96125,110363,68729,52849,49116,24807,865,110230,80028,50120,135096,60545,39844,36739,4146,25196,8038,16576,24836,9514,19725,568472,374688,146213,41527,279278,138167,20437,721,11846,14659,2075,4590,4723,10720,4365,10002,195485,86439,141629,121245,68749,23687,48072,27931,14129,47956,100564,52525,68874,34924,37919,57842,72236,38915,13770,28171,99693,13940,196712,25457,12745,82983,40841,92848,56105,96057,23216,52971,45423,50159,2663,3052,4230,1449,5426,52500,63446,193770,153841,312196,74950,276340,79734,39728,81117,37416,10557,28256,23413,23932,51236,28116,79324,12611,256496,87002,82498,61990,1015180,304519,74241,35567,7791,10470,9989,1864,53817,5345,6167,7582,7184
"MES_1_D_cluster_DBSCAN_round2_17",8576,8352,10414,11537,11298,12840,21895,26587,44250,34231,44483,29100,27025,24438,40909,26294,65611,54404,9734,7104,14196,19910,17125,19899,23570,10333,24078,11109,12362,6208,14147,15310,34619,47067,23037,960,892,7890,7032,11263,5998,21426,6449,5515,20910,20691,24496,30140,57924,52721,55507,30169,18500,36447,12093,12276,7024,8765,5680,17713,14374,23617,5116,7763,5011,6485,6558,9651,5824,12473,7664,4995,11013,5588,7327,2840,8375,2797,9683,7061,7116,17434,6545,10578,3521,62998,25583,29706,4109,66416,38122,14227,5278,4332,5795,12674,19139,12284,27587,4939,8068,12119,11402,14772,15936,8378,12644,9104,5140,9139,1261,190,22077,9844,4198,10830,6190,17350,42373,12860,19683,10651,17074,18453,8079,15871,143122,129985,40612,20582,51878,36579,20531,15157,31337,16344,9160,36658,69648,42315,37598,73720,16866,6457,9656,9531,5085,2172,10307,7517,4472,9287,6839,11042,22943,45481,23320,22331,20574,22668,22084,16702,27843,10414,42699,18165,20102,19777,14705,17613,58051,32149,23115,23711,37778,23581,11701,4647,16809,6949,14343,9656,9982,18823,11423,20108,31557,62333,42778,11488,14299,22371,4232,8899,5350,13622,26071,33518,20033,12582,55083,53025,35935,21544,131263,60360,30646,33920,22810,11830,11748,8794,88038,22715,54841,34757,26128
"MES_1_E_cluster_DBSCAN_round6_3",845903,728165,761857,1247169,517929,402748,1301995,1210518,2422437,980849,132236,568543,372109,355824,1249724,387209,149012,35147,62586,225146,30061,11023,9279,36675,6127,180480,4581,1979,3711,18058,6631,45750,17097,9034,6666,931,2283,19037,947314,2782582,1472539,2855547,1095006,713524,3000184,1868431,2792646,2453005,909829,902950,1017819,1083630,2595647,1189298,219022,81979,459434,153014,92426,185935,53498,101920,96467,97107,168548,41290,4477,39596,84101,11300,326215,17552,18577,24110,26926,82157,6516,6345,427670,236048,150376,235703,429381,207078,62027,1004259,126966,216536,131217,7396,5499,57902,20414,97034,8126,21646,58916,53176,23399,2078,3168,8028,4557,20907,9838,3180,12318,5132,6823,5648,2310,91,57117,86442,29900,105907,49329,68723,13962,18530,40997,33455,42618,7538,15294,1368,3169,3732,1625,930,1604,1499,1383,652,1190,964,525,1051,845,726,713,823,268630,116972,150586,181406,122659,50404,23676,23507,21385,60193,91928,59149,3478,12809,15854,29928,36661,25877,2871,7540,5598,3328,3019,1285,959,2142,1117,1789,1976,1481,1825,1899,2393,2230,874,380,2330,507,3090,26669,47951,376632,313286,623553,7473,8230,64147,89404,82443,67578,12082,76641,31341,38175,1733,1586,1453,3185,2374,2480,1899,1834,7059,4061,2128,1916,1044,919,1177,702,1721,615,1148,917,767
"MES_2_C_cluster_DBSCAN_round3_1",40489,96230,43804,77416,32800,80513,107349,189249,164517,191014,78433,110551,96755,118828,146211,136236,91167,94220,73469,35115,65051,28457,23183,37297,32422,76805,33805,11373,13000,8687,26728,79159,46028,33388,14141,1019,1038,31805,19159,85638,30817,129941,16677,37176,77879,135117,107650,122123,154512,337547,82434,115126,60876,100123,23696,23335,22984,49534,28409,91415,65514,146261,115714,188787,23348,120817,16088,45352,100379,85141,81761,35362,27831,19805,26447,133558,22756,10329,42952,19802,54840,187867,47874,172625,39674,1629686,476810,524665,88860,208683,157127,183380,112796,178067,72774,225758,323896,169884,309283,66035,85850,197439,100535,164422,263188,78777,203794,94157,59524,114464,36176,1216,16409,18025,8551,9154,13110,28654,14382,16526,22625,18499,18283,15070,13651,6633,48862,38645,20470,6635,22653,13733,6597,533,5574,4507,1223,4177,4258,4166,5042,5783,49557,30488,35696,56420,16075,20150,34225,26983,20281,65408,18396,55538,37349,20968,31300,45476,24684,35547,10200,16683,28684,12744,53568,8742,5222,22081,9668,20350,13309,20553,10203,17512,12630,18853,2964,1726,2643,1171,4356,47238,36377,78078,34450,124783,50966,66535,56480,54333,29042,74370,3606,15140,5258,31177,11670,8281,10754,9168,49462,30474,17604,15304,104064,81415,27759,14436,5275,5379,4595,1297,23160,2220,4911,4497,3117
"MES_5_C_cluster_DBSCAN_round8_4",14290,19682,7110,28284,14738,421130,23185,37037,25281,156918,133287,608798,133461,211464,24942,237324,68879,426334,129670,57170,133306,26884,57065,24992,37171,73333,73246,10749,15566,6704,48839,75035,84317,14231,20239,2269,3046,34532,5838,12885,6538,23555,7898,6316,22276,25148,38116,28391,113228,627522,31131,57955,56049,105164,20156,99045,13721,107780,30405,249185,19640,199625,69198,101941,8569,96017,10271,59836,64006,129904,21915,65862,17506,41707,32311,57071,10919,11118,7219,5069,44726,88545,5410,112175,6588,588921,133512,138963,49605,43504,981774,56611,46365,77843,86353,28763,53012,107664,56694,8253,32223,16210,22966,91661,38119,7981,34154,16809,25709,23922,2200,1596,186388,263170,638145,80629,396931,64174,46722,61823,174346,17453,86982,28272,55955,3970,73851,76605,55216,12681,16800,43349,16621,546,13089,1346,2598,1326,1404,3166,1115,2502,51598,118616,172399,40181,11275,9857,113521,134239,64198,219943,33495,223423,127266,35108,52735,107369,26587,74954,41718,22782,28896,21649,103575,14159,3555,88263,6973,70772,11213,29943,14945,32556,3379,34712,1258,539,459,471,6919,411986,425906,355240,52255,228043,618476,765699,148123,244065,47957,299806,8807,41590,15380,62009,46905,21529,10679,7212,97620,65332,28326,59518,92867,255033,36171,20094,4581,8125,2927,2148,21145,687,1869,3318,2649
"MES_7_C_cluster_DBSCAN_round4_2",44383,37690,12770,39113,47437,40023,62905,78464,70129,72266,98295,85078,87934,65734,48311,58785,79536,54991,28148,8002,17561,20644,7330,12389,8684,57648,17447,19841,6610,5016,11258,37267,27004,37492,8554,669,385,5942,30826,69034,12179,141830,32439,26339,74777,110596,39974,129242,300563,198703,101606,70488,32851,81458,27682,11543,10948,31924,20016,39412,22192,44946,30039,44603,6536,29452,10534,13733,11969,16721,12976,6701,17346,2288,4369,16286,9614,6355,7524,20217,48431,103027,12214,71676,27868,343746,171194,149163,30610,324318,295458,42405,20314,31245,22135,80585,41476,33427,130644,14641,22373,30533,19141,22046,31804,22697,34165,7081,10763,15907,3119,132,61315,30809,12271,28210,17775,43159,15134,14446,26578,65759,19437,16455,7796,6922,268827,166595,40526,12691,88606,30402,26734,1177,12028,16122,3554,13746,10915,15186,13425,21037,44708,19227,23352,27322,19055,7755,16115,14211,11942,41641,18491,31708,21706,13916,7882,13053,16845,7532,7250,10908,26176,4124,42172,6308,4771,13968,9898,15666,24551,18076,10612,16865,21110,15669,2436,2182,3061,1232,3671,27828,29563,56842,52763,69365,34989,64887,37196,35337,57232,74890,2893,6976,6084,9345,11986,11877,15300,3525,68651,34087,30589,16446,233578,70880,39996,13917,6393,4510,6222,1353,47699,4189,9786,10033,6559
"MES_7_D_cluster_DBSCAN_round362_17",10647,30454,5575,18374,33516,74377,68794,137783,29031,145563,80804,129601,299287,231113,58547,237827,151775,242964,42485,39652,35296,43569,21635,84794,76379,120230,139103,58173,24966,7799,26341,48095,65702,61051,16256,1069,766,15674,2668,17201,4104,18465,6702,12356,7281,11572,10055,13330,250599,319353,30561,90597,4882,62938,43011,50503,1787,102537,59060,256410,77010,239874,68109,107922,14025,114602,22186,94091,52603,127373,81855,38273,44782,16300,12572,21081,11138,6407,3875,24280,15463,37617,12999,38487,13710,239522,212381,215517,15367,225204,165841,95054,40908,41364,32022,219394,270349,241859,212174,74037,95041,95141,54131,116915,99966,57741,71776,34280,33857,26941,10720,373,47738,45369,24499,32914,26288,26026,23502,2858,23476,4086,11032,9825,2711,6506,512265,306885,158639,48896,158857,152449,15958,348,9406,7915,1144,2431,4553,10421,2321,6877,123789,40972,67520,58232,27181,11765,26056,12406,6842,28538,25124,29168,61575,17303,19229,22891,18536,16287,8154,15718,40965,8551,162816,17675,9347,59602,16245,65600,43519,70944,15407,32920,18478,29263,1669,1152,2415,425,2681,32325,44236,87059,58150,144330,53486,228078,35502,19094,38294,20527,3780,11263,6269,9372,40973,24550,44996,12148,276963,68736,76492,55124,489363,276875,65047,23432,5124,7635,5457,991,47044,1572,3829,5004,4562
"MES_7_E_cluster_DBSCAN_round2_10",2547,6358,1515,8712,2106,62432,5432,4807,6069,19644,22413,45503,14401,30532,2207,21096,37522,48129,18678,13634,51120,21525,31580,21413,38449,24060,42343,6757,26726,4534,7735,30152,16924,12687,8821,1293,1180,16170,1702,5292,1568,9172,1371,1989,4690,6517,22508,4944,22946,75612,8247,2509,3999,5613,3569,12480,5119,18888,6213,57689,23087,134088,36174,67383,1757,52206,10908,49788,13157,26529,3252,23582,11720,14095,20283,22321,6720,5226,688,598,5166,7708,584,11420,2791,62564,29267,18428,7128,104699,74275,49098,34854,12858,39682,69923,83576,54402,70073,34585,57425,31939,31398,54197,40967,40987,112039,61788,60852,59417,15358,5659,101820,73698,185771,27038,155814,127124,62223,37294,90585,25028,58187,66165,40336,31061,18895,17984,15499,23151,20709,28033,4556,9084,9776,7037,7389,18675,18481,9895,21510,12248,10864,34569,65592,14843,2675,3156,35553,32113,19621,32422,10723,57762,46433,72978,65164,82776,29714,56315,15827,20087,21358,16305,18274,9969,7101,20390,7966,17416,8878,8786,4453,9611,6054,6321,4457,2530,2568,2388,3685,270736,322728,143231,17250,67604,56125,101914,97067,71656,17245,130553,8042,10538,4745,29080,22058,10689,12992,22522,18050,14943,8022,19795,33266,34899,10527,6716,6406,6644,3161,3500,17631,14138,13048,7963,11195
"pH10_1_E_cluster_DBSCAN_round1_4",36024,70780,19440,93979,76640,1723621,84848,163020,133682,436127,389725,1215141,737085,1119554,116976,775283,849285,3782045,517035,95061,478393,429035,533417,59951,125037,127740,410473,344160,86189,47832,326926,176391,819532,183277,269348,34711,54911,62463,19636,38401,12449,68658,3855,14076,49839,84582,48327,74231,568177,1485291,131259,95485,65322,471354,172804,605205,8013,199266,57121,475654,114863,473528,124817,232796,7289,282894,134975,171105,98325,436798,35057,193933,248958,137498,214723,38743,557353,106131,18284,26677,136179,360509,15254,231189,18196,1463514,546508,907303,113866,545011,4248494,414031,255653,141590,385724,279030,235396,185693,790752,33710,150745,240989,146189,269876,336179,101389,489217,120836,290309,252325,14551,4768,258137,632331,1159912,140827,837010,791714,1040799,90082,1235409,20577,419086,119409,174100,1510,167287,182200,326408,10082,50658,86389,162027,359,14139,12553,18540,1152,1010,10606,891,13808,373933,651703,468401,188778,21434,45347,545442,287214,142116,1023183,59492,359415,1457842,363340,149860,413210,39862,247054,154516,157190,216266,109128,430610,49662,10976,1355959,114145,885354,12303,13085,9507,8729,3538,11446,1769,562,366,544,3130,1658179,1376762,1078335,158006,881580,12979011,11232828,427947,473236,83211,558486,29890,100839,19928,275181,185469,361048,96556,2502,52539,223806,161433,626044,659660,1595337,10193,5581,4274,5530,5910,4065,5977,642,1274,2894,1291
