"variable","G05_1_E_cluster_DBSCAN_round3_4","G05_2_B_cluster_DBSCAN_round2_17","G05_2_C_cluster_DBSCAN_round3_1","G05_3_E_cluster_DBSCAN_round7_3","G05_5_C_cluster_DBSCAN_round2_2","G05_6_E_cluster_DBSCAN_round5_10","G05_6_E_cluster_DBSCAN_round6_6","G05_6_E_cluster_DBSCAN_round7_6","G05_7_A_cluster_DBSCAN_round8_2","G05_7_C_cluster_DBSCAN_round4_18","G10_2_C_cluster_DBSCAN_round1_10","G10_3_A_cluster_DBSCAN_round5_0","G10_3_D_cluster_DBSCAN_round210_2","G10_6_B_cluster_DBSCAN_round179_0","G10_6_E_cluster_DBSCAN_round5_1","G10_7_A_cluster_DBSCAN_round160_0","G10_7_C_cluster_DBSCAN_round1_6","G10_7_C_cluster_DBSCAN_round7_14","G10_7_C_cluster_DBSCAN_round7_2","G10_7_E_cluster_DBSCAN_round81_0","MES_1_D_cluster_DBSCAN_round2_17","MES_1_E_cluster_DBSCAN_round6_3","MES_2_C_cluster_DBSCAN_round3_1","MES_5_C_cluster_DBSCAN_round8_4","MES_7_C_cluster_DBSCAN_round4_2","MES_7_D_cluster_DBSCAN_round362_17","MES_7_E_cluster_DBSCAN_round2_10","pH10_1_E_cluster_DBSCAN_round1_4","pH10_1_E_cluster_DBSCAN_round2_19","pH10_1_E_cluster_DBSCAN_round2_2","pH10_2_A_cluster_DBSCAN_round2_4","pH10_2_A_cluster_DBSCAN_round6_5","pH10_4_D_cluster_DBSCAN_round1_1","pH10_6_A_cluster_DBSCAN_round525_32","pH10_6_C_cluster_DBSCAN_round2_10","pH10_6_E_cluster_DBSCAN_round5_14","pH10_7_A_cluster_DBSCAN_round2_25","pH10_7_B_cluster_DBSCAN_round161_0","pH10_7_C_cluster_DBSCAN_round5_6","pH10_7_C_cluster_DBSCAN_round7_1","pH10_7_C_cluster_DBSCAN_round7_4","pH10_7_E_cluster_DBSCAN_round3_20","pH10_7_F_cluster_DBSCAN_round4_20","pH10_7_F_cluster_DBSCAN_round5_0","pH6_1_A_cluster_DBSCAN_round1_4","pH6_1_D_cluster_DBSCAN_round2_7","pH6_2_E_cluster_DBSCAN_round5_7","pH6_4_F_cluster_DBSCAN_round203_0","pH6_6_D_cluster_DBSCAN_round9_1","pH8_2_E_cluster_DBSCAN_round1_4","pH8_6_D_cluster_DBSCAN_round6_12","pH8_7_C_cluster_DBSCAN_round6_1","pH8_7_D_cluster_DBSCAN_round9_5","pH8_7_F_cluster_DBSCAN_round202_0"
"G05_7_B",11627,1387319,1308795,299602,64816,54869,35872,47858,56648,14751,18997,160267,107622,341192,63201,120241,370114,10963,37169,472867,36340,18352,46701,120117,50602,579661,13853,187245,211839,135090,489180,69727,178519,16334,80338,220823,9786,28389,14350,10801,32035,20296,6295,77638,38923,10358,612769,34807,2550360,1048477,7928,5852,76015,12649
"G05_7_C",24048,3619210,1478317,449882,161216,71956,81115,58644,14481,40051,49653,270080,111725,374733,132936,113024,561120,13604,55744,495465,48823,34989,93465,194611,90288,535860,28970,582984,244044,214563,666746,77009,317475,20650,125884,384340,11132,38618,23076,14861,43344,31907,6380,172864,68860,16188,1077005,43823,1741799,2070275,14083,5794,65285,17238
"G10_1_A",33033,38002,355258,1002658,140566,6748,14216,27711,5283,9092,190252,411726,29654,71468,14615,10532,154035,6191,11744,69807,73105,72971,46752,29321,132767,62315,4458,526568,52811,37123,109629,24115,31960,3939,143366,327349,2909,6043,5334,2864,11619,6230,2015,16483,36103,10949,1807735,10589,408687,201277,22169,1920,23817,3256
"G10_1_B",61368,40368,389761,1170818,120340,6040,5713,30886,5525,9748,210809,427540,55848,117003,9098,10998,125840,7944,13406,162112,38639,82760,64830,52088,136791,150679,3056,853574,37773,35061,130336,16518,20003,3986,199961,374563,3177,5344,2401,2270,4085,3124,2330,16714,33318,14176,2343725,14548,344647,270080,22276,906,16252,2855
"G10_1_C",76901,79637,523728,1955820,272998,14246,23317,53192,9913,21066,702794,521850,66488,154411,18181,25335,271368,13943,25078,172821,153779,155205,107799,54430,171146,141530,6259,1023059,85055,79357,206319,39874,38369,8767,438403,640875,5868,8421,8625,4274,12546,9288,4012,34982,52837,26483,4358559,22161,767287,297711,50893,3444,40970,4555
"G10_1_D",69513,52125,395660,1937306,267744,9523,12039,42831,8793,15821,399453,564666,46171,88641,16036,19246,147411,12738,18131,118611,76953,125967,99083,75627,184315,99297,4536,1365940,61265,39761,111819,25535,47612,6861,298616,614185,4742,7181,4477,3307,8764,5658,3428,27789,49390,23231,3815620,11661,617281,226439,34803,1791,21127,3946
"G10_1_E",91949,52518,311849,3115989,312180,19646,19905,81862,9224,16198,227066,446754,36934,108194,14822,22192,160751,12990,21552,153280,42372,99367,63686,15327,143182,115372,4027,172511,54877,33585,119911,31050,31773,9032,217500,681854,5978,6584,9938,4058,11841,7989,3706,25751,120708,16763,4361801,13855,446350,76035,38304,5462,34241,5422
"G10_1_F",78460,46491,470688,2399481,185843,11306,7713,47846,9304,16272,230618,578923,93613,163163,9765,20396,161614,14600,27322,250155,58071,107753,93801,91716,185218,238831,4215,1060916,56232,41348,180232,25882,28839,7054,266541,597004,5237,6883,4244,3148,5619,5126,3941,37537,56015,16891,3856390,19208,505178,178872,29894,1570,26588,3537
"G10_2_A",71872,172926,590336,2572248,271591,14280,19988,62405,10704,18388,336097,668130,55508,107900,16770,23538,186833,13477,22549,147162,90199,148050,79849,49773,217879,137086,5688,919136,64554,55601,167126,35024,33074,8966,295954,757406,6386,6018,7818,3463,9477,8130,4611,35471,61437,21410,4471204,13402,816207,357281,42555,2642,31719,3740
"G10_2_B",68423,51329,362156,2279425,228662,9915,6041,61080,10284,15863,322996,728079,70232,125297,9983,19676,109213,13911,19051,205717,45744,132335,103013,57144,234699,187851,2580,1134623,24666,26339,89259,15390,25842,7344,296545,658385,5462,4150,3042,2047,4279,3923,4159,18329,49325,18275,4680517,14491,474336,311129,34522,987,13245,2341
